0,1,2,3
943,380,4,0
943,710,3,0
943,408,3,0
943,462,4,0
943,1143,2,0
943,251,4,0
943,251,3,0
943,1020,3,0
943,376,4,0
943,654,3,0
943,1261,5,0
943,1044,3,0
943,1483,4,0
943,835,3,0
943,1151,4,0
943,1116,3,0
943,963,4,0
943,925,3,0
943,1283,2,0
943,1167,4,0
943,1117,4,0
943,1473,1,0
943,1008,4,0
943,1421,1,0
943,1228,4,0
943,1106,3,0
943,855,4,0
943,1112,5,0
943,704,4,0
943,1035,4,0
943,159,4,0
943,531,4,0
943,1415,4,0
943,562,2,0
943,402,4,0
943,658,4,0
943,632,2,0
943,617,4,0
943,531,4,0
943,169,2,0
943,729,4,0
943,1143,4,0
943,729,2,0
943,199,4,0
943,750,5,0
943,1061,3,0
943,649,2,0
943,1042,4,0
943,846,5,0
943,73,4,0
943,140,1,0
943,1061,4,0
943,1117,1,0
943,944,5,0
943,464,4,0
943,1131,5,0
943,1063,5,0
943,1419,5,0
943,490,4,0
943,793,3,0
943,78,4,0
943,903,1,0
943,1189,3,0
943,1134,3,0
943,478,3,0
943,1221,4,0
943,1004,4,0
943,524,4,0
943,942,4,0
943,234,4,0
943,513,1,0
943,1298,4,0
943,1537,3,0
943,1240,5,0
943,519,3,0
943,566,3,0
943,134,4,0
943,494,2,0
943,753,4,0
943,127,3,0
943,707,4,0
943,601,4,0
943,1269,4,0
943,194,4,0
943,704,5,0
943,232,4,0
943,980,4,0
943,1217,4,0
943,1439,5,0
943,663,4,0
943,1115,5,0
943,1449,4,0
943,1540,4,0
943,587,4,0
943,441,2,0
943,612,3,0
943,1157,5,0
943,999,4,0
943,1111,4,0
943,1167,4,0
943,76,4,0
943,76,4,0
943,434,2,0
943,1428,4,0
943,452,2,0
943,1007,3,0
943,1077,1,0
943,287,4,0
943,1060,3,0
943,536,3,0
943,388,4,0
943,866,2,0
943,704,4,0
943,870,4,0
943,531,3,0
943,1112,4,0
943,116,1,0
943,1181,4,0
943,464,4,0
943,1145,3,0
943,664,1,0
943,321,4,0
943,311,2,0
943,1237,3,0
943,504,4,0
943,1297,3,0
943,928,4,0
943,1615,4,0
943,921,4,0
943,114,4,0
943,295,4,0
943,933,4,0
943,1051,5,0
943,1114,5,0
943,1244,3,0
943,819,4,0
943,1468,4,0
943,483,3,0
943,625,4,0
943,141,3,0
943,657,2,0
943,963,3,0
943,1518,4,0
943,810,4,0
943,531,1,0
943,1051,4,0
943,73,4,0
943,1107,4,0
943,629,3,0
943,902,3,0
943,1404,4,0
943,459,2,0
943,337,1,0
943,443,5,0
943,661,4,0
943,18,5,0
943,506,4,0
943,1116,3,0
943,279,4,0
943,16,5,0
943,1404,2,0
943,958,2,0
943,648,4,0
943,1462,3,0
943,171,1,0
943,1074,2,0
943,434,4,0
943,1051,4,0
943,1531,4,0
943,1615,3,0
943,1200,4,0
943,119,5,0
943,923,4,0
943,1285,4,0
943,344,4,0
943,580,4,0
943,277,3,0
943,1168,3,0
943,1194,3,0
943,483,4,0
943,1149,4,0
943,684,3,0
943,1103,4,0
943,1511,4,0
943,492,1,0
943,1285,4,0
943,58,5,0
943,223,3,0
943,715,3,0
943,65,4,0
943,617,2,0
943,768,3,0
943,529,4,0
943,1109,4,0
943,365,2,0
943,713,4,0
943,1261,3,0
943,1664,4,0
943,1061,5,0
943,1268,5,0
943,750,3,0
943,906,5,0
943,900,4,0
943,733,4,0
943,257,2,0
943,1007,4,0
943,691,3,0
943,1006,2,0
943,547,2,0
943,967,4,0
943,1393,5,0
943,57,4,0
943,1233,4,0
943,304,2,0
943,605,5,0
943,406,3,0
943,72,3,0
943,62,4,0
943,1312,4,0
943,715,3,0
943,761,2,0
943,579,4,0
943,1109,1,0
943,1262,4,0
943,1278,2,0
943,1244,3,0
943,1315,2,0
943,1044,2,0
943,991,3,0
943,855,2,0
943,1386,2,0
943,107,2,0
943,699,3,0
943,654,4,0
943,500,2,0
943,1141,1,0
943,1213,3,0
943,685,2,0
943,587,4,0
943,829,2,0
943,1531,3,0
943,1313,3,0
943,947,3,0
943,484,4,0
943,1120,3,0
943,531,3,0
943,754,4,0
943,663,3,0
943,1448,3,0
943,1172,1,0
944,102,2,0
944,541,1,0
944,251,5,0
944,1149,5,0
944,1039,5,0
944,736,4,0
944,73,4,0
944,1019,3,0
944,408,3,0
944,615,3,0
944,31,4,0
944,796,4,0
944,745,1,0
944,621,3,0
944,478,2,0
944,1194,4,0
944,923,3,0
944,194,5,0
944,520,4,0
944,971,4,0
944,1269,3,0
944,281,4,0
944,1053,3,0
944,963,5,0
944,694,4,0
944,219,2,0
944,620,5,0
944,718,4,0
944,592,5,0
944,5,2,0
944,1112,4,0
944,1042,4,0
944,954,3,0
944,1303,4,0
944,571,3,0
944,658,5,0
944,402,4,0
944,1159,3,0
944,1303,2,0
944,169,5,0
944,729,5,0
944,1049,3,0
944,459,4,0
944,496,4,0
944,531,4,0
944,487,4,0
944,656,1,0
944,1138,4,0
944,147,2,0
944,731,4,0
944,441,4,0
944,1061,4,0
944,1203,4,0
944,1220,3,0
944,1055,3,0
944,999,3,0
944,1056,3,0
944,399,4,0
944,623,3,0
944,28,4,0
944,1261,4,0
944,993,4,0
944,233,5,0
944,1289,4,0
944,1103,5,0
944,1221,3,0
944,1004,4,0
944,1298,5,0
944,572,5,0
944,234,5,0
944,537,5,0
944,854,3,0
944,963,3,0
944,641,5,0
944,1299,3,0
944,505,3,0
944,684,4,0
944,156,2,0
944,1081,5,0
944,648,3,0
944,704,5,0
944,750,3,0
944,605,4,0
944,26,5,0
944,625,3,0
944,1114,5,0
944,26,5,0
944,191,4,0
944,657,4,0
944,107,5,0
944,46,5,0
944,495,2,0
944,958,4,0
944,970,3,0
944,1132,5,0
944,798,3,0
944,1240,5,0
944,1169,4,0
944,641,4,0
944,1185,5,0
944,518,3,0
944,71,4,0
944,1267,5,0
944,11,4,0
944,995,4,0
944,580,2,0
944,126,4,0
944,1167,3,0
944,729,4,0
944,835,2,0
944,563,2,0
944,478,5,0
944,728,3,0
944,1440,3,0
944,1110,4,0
944,938,5,0
944,391,3,0
944,189,4,0
944,607,3,0
944,1244,4,0
944,1039,5,0
944,691,2,0
944,889,3,0
944,877,2,0
944,331,5,0
944,459,4,0
944,61,4,0
944,1188,4,0
944,730,2,0
944,1409,4,0
944,1296,4,0
944,1000,4,0
944,1303,2,0
944,1042,4,0
944,1086,2,0
944,768,3,0
944,225,5,0
944,1441,3,0
944,863,1,0
944,1056,4,0
944,1185,3,0
944,101,1,0
944,136,5,0
944,1283,3,0
944,169,3,0
944,947,4,0
944,1007,3,0
944,869,4,0
944,530,4,0
944,1281,2,0
944,613,5,0
944,43,3,0
944,1022,3,0
944,1129,4,0
944,1240,5,0
944,528,3,0
944,903,4,0
944,499,2,0
944,1075,3,0
944,1283,3,0
944,1615,2,0
944,1112,3,0
944,30,4,0
944,1221,5,0
944,1524,3,0
944,846,5,0
944,1315,5,0
944,428,4,0
944,1252,4,0
944,557,3,0
944,936,5,0
944,1421,4,0
944,267,4,0
944,44,4,0
944,1438,3,0
944,1208,3,0
944,74,3,0
944,427,4,0
944,639,4,0
944,587,4,0
944,427,4,0
944,127,2,0
944,1024,5,0
944,1099,4,0
944,45,4,0
944,557,4,0
944,641,4,0
944,906,4,0
944,630,2,0
944,646,4,0
944,587,1,0
944,373,3,0
944,811,1,0
944,601,2,0
944,520,4,0
944,745,1,0
944,953,2,0
944,520,3,0
944,950,5,0
944,329,2,0
944,360,3,0
944,686,4,0
944,1138,3,0
944,467,4,0
944,306,4,0
944,429,1,0
944,1379,3,0
944,1075,3,0
944,1218,4,0
944,958,4,0
944,54,5,0
944,1227,4,0
944,1479,5,0
944,417,5,0
944,363,2,0
944,205,3,0
944,658,2,0
944,1018,2,0
944,491,2,0
944,756,4,0
944,795,4,0
944,40,2,0
944,1397,5,0
944,786,3,0
944,1150,2,0
944,794,2,0
944,536,1,0
944,970,3,0
944,761,2,0
944,1020,3,0
944,768,4,0
944,850,3,0
944,1522,3,0
944,365,4,0
944,778,5,0
944,588,1,0
944,812,3,0
944,1471,2,0
944,28,3,0
944,166,3,0
944,951,4,0
944,1252,3,0
944,1039,1,0
944,129,1,0
944,593,3,0
944,718,3,0
944,1268,2,0
944,860,5,0
944,1402,3,0
944,1027,2,0
944,1400,3,0
944,232,3,0
944,524,1,0
944,1188,3,0
944,592,2,0
944,1428,4,0
944,714,4,0
944,522,3,0
944,556,2,0
944,224,4,0
944,1062,1,0
944,40,4,0
944,223,2,0
944,1205,2,0
944,1010,3,0
944,893,2,0
944,1540,1,0
944,1312,1,0
945,380,4,0
945,1404,4,0
945,1004,4,0
945,1268,3,0
945,198,4,0
945,646,4,0
945,964,5,0
945,750,4,0
945,1171,3,0
945,284,3,0
945,503,5,0
945,513,5,0
945,847,3,0
945,1265,5,0
945,869,4,0
945,545,3,0
945,1281,5,0
945,1220,2,0
945,1283,4,0
945,917,4,0
945,484,4,0
945,1103,3,0
945,939,3,0
945,1285,5,0
945,942,5,0
945,1267,4,0
945,1279,4,0
945,718,4,0
945,708,4,0
945,793,3,0
945,1167,4,0
945,1050,4,0
945,251,4,0
945,1296,3,0
945,944,4,0
945,1225,3,0
945,468,4,0
945,1154,4,0
945,536,3,0
945,389,3,0
945,1049,3,0
945,460,4,0
945,673,2,0
945,5,4,0
945,1149,3,0
945,1615,4,0
945,1278,3,0
945,945,4,0
945,481,4,0
945,1110,5,0
945,31,5,0
945,183,5,0
945,966,4,0
945,1404,4,0
945,1020,4,0
945,453,4,0
945,657,3,0
945,520,4,0
945,1439,4,0
945,1098,4,0
945,1124,4,0
945,1139,5,0
945,609,4,0
945,999,4,0
945,983,4,0
945,563,2,0
945,947,5,0
945,977,4,0
945,625,3,0
945,1531,3,0
945,41,2,0
945,864,4,0
945,1109,5,0
945,1125,5,0
945,1161,4,0
945,705,5,0
945,1404,5,0
945,481,3,0
945,1116,3,0
945,525,5,0
945,1204,5,0
945,1138,3,0
945,630,3,0
945,949,5,0
945,1145,5,0
945,728,3,0
945,1142,5,0
945,1007,5,0
945,1301,5,0
945,745,3,0
945,873,4,0
945,1439,3,0
945,995,3,0
945,63,5,0
945,634,4,0
945,265,4,0
945,645,5,0
945,836,5,0
945,1266,5,0
945,494,5,0
945,1449,5,0
945,1075,4,0
945,61,5,0
945,101,5,0
945,1143,4,0
945,478,4,0
945,277,4,0
945,529,5,0
945,357,4,0
945,1172,4,0
945,543,5,0
945,527,4,0
945,601,5,0
945,794,3,0
945,408,5,0
945,885,3,0
945,519,4,0
945,467,5,0
945,1269,4,0
945,1084,5,0
945,1302,5,0
945,915,4,0
945,207,5,0
945,198,5,0
945,770,5,0
945,114,3,0
945,239,4,0
945,1245,4,0
945,704,4,0
945,295,4,0
945,617,4,0
945,149,5,0
945,84,3,0
945,1050,5,0
945,1202,4,0
945,1141,1,0
945,785,5,0
945,1114,4,0
945,614,4,0
945,1020,4,0
945,611,3,0
945,355,3,0
945,946,4,0
945,1303,4,0
945,1219,3,0
945,164,4,0
945,31,4,0
945,1095,4,0
945,1181,3,0
945,1025,4,0
945,1168,3,0
945,848,3,0
945,346,3,0
945,619,5,0
945,659,5,0
945,938,5,0
945,939,4,0
945,1466,4,0
945,373,3,0
945,578,3,0
945,237,4,0
945,1107,3,0
945,1439,2,0
945,1193,3,0
945,140,5,0
945,1070,5,0
945,1150,4,0
945,487,5,0
945,281,3,0
945,236,4,0
945,131,4,0
945,1056,3,0
945,399,5,0
945,1311,4,0
945,612,4,0
945,1152,5,0
945,500,3,0
945,203,4,0
945,751,4,0
945,1103,4,0
945,1440,3,0
945,623,4,0
945,782,5,0
945,1444,4,0
945,694,2,0
945,829,4,0
945,1061,4,0
945,813,5,0
945,327,4,0
